"Countries, territories and areas",2019,2018,2017,2016,2015
Afghanistan,6.0 [3.4-9.9],5.9 [3.4-9.8],6.0 [3.4-9.9],6.0 [3.5-9.9],6.0 [3.5-9.9]
Albania,3.7 [2.1-5.7],3.9 [2.2-6.0],4.1 [2.3-6.3],4.2 [2.3-6.3],4.2 [2.3-6.4]
Algeria,2.6 [1.4-4.4],2.6 [1.4-4.4],2.5 [1.4-4.4],2.6 [1.4-4.5],2.7 [1.5-4.7]
Angola,12.6 [7.7-19.4],12.4 [7.6-19.0],12.4 [7.6-18.9],12.9 [8.0-19.6],13.3 [8.3-20.1]
Antigua and Barbuda,0.3 [0.2-0.5],0.3 [0.2-0.5],0.0 [0.0-0.0],0.5 [0.3-0.7],0.4 [0.3-0.6]
Argentina,8.1 [6.5-10.1],9.0 [7.3-11.0],8.7 [7.1-10.4],8.1 [6.7-9.6],8.1 [6.8-12.9]
Armenia,2.7 [1.9-3.6],1.7 [1.2-2.2],2.4 [1.9-3.1],4.4 [3.5-5.5],4.7 [3.7-5.9]
Australia,11.3 [9.3-16.5],11.3 [9.4-13.3],11.8 [10.0-18.8],10.9 [9.5-12.5],11.8 [10.4-13.3]
Austria,10.4 [8.6-12.5],11.2 [9.4-13.2],10.8 [9.2-12.6],11.1 [9.6-12.9],11.4 [9.9-13.1]
Azerbaijan,4.0 [2.3-6.3],3.9 [2.3-6.2],3.9 [2.3-6.1],3.9 [2.3-6.0],4.0 [2.4-6.1]
Bahamas,3.4 [2.3-4.8],3.4 [2.4-4.8],3.3 [2.3-4.6],3.5 [2.5-4.8],3.4 [2.5-4.7]
Bahrain,7.2 [4.5-10.4],7.0 [4.4-10.1],6.7 [4.2-9.7],6.5 [4.0-9.2],6.3 [4.0-8.9]
Bangladesh,3.9 [2.4-6.0],3.8 [2.3-5.8],3.7 [2.3-5.6],3.6 [2.3-5.5],3.6 [2.4-5.5]
Barbados,0.3 [0.2-0.4],0.3 [0.2-0.4],0.3 [0.2-0.4],0.3 [0.2-0.4],0.3 [0.2-0.4]
Belarus,16.5 [11.4-23.7],17.9 [12.8-24.8],18.5 [13.8-24.4],19.4 [15.1-24.6],19.6 [15.7-24.2]
Belgium,13.9 [11.5-16.6],14.3 [12.0-16.9],14.6 [12.4-17.0],15.0 [13.0-17.3],14.4 [12.6-16.4]
Belize,7.7 [5.5-10.3],7.2 [5.2-9.5],7.7 [5.7-10.2],6.7 [5.0-8.7],6.9 [5.2-8.9]
