country,F_population,M_population,F_population_suicides_no,M_population_suicides_no
"Albania, 1987",1316900,1392700,25,48
"Albania, 1988",1343600,1420700,22,41
"Albania, 1989",1363300,1439800,15,53
"Albania, 1992",1423200,1399300,14,33
"Albania, 1993",1427400,1379900,27,46
"Albania, 1994",1445100,1404200,15,35
"Albania, 1995",1473800,1429600,34,54
"Albania, 1996",1496000,1444200,39,50
"Albania, 1997",1528900,1448400,52,118
"Albania, 1998",1537300,1475400,58,96
"Albania, 1999",1543300,1486400,48,91
"Albania, 2000",1372400,1423900,16,38
"Albania, 2001",1408730,1390619,35,84
"Albania, 2002",1418737,1400102,42,91
"Albania, 2003",1431674,1412255,51,73
"Albania, 2004",1447609,1427382,57,89
"Albania, 2005",1399928,1383392,0,0
"Albania, 2006",1397509,1382667,0,0
"Albania, 2007",1391852,1378492,47,77
"Albania, 2008",1384673,1372386,61,99
"Albania, 2009",1378059,1367676,0,0
"Albania, 2010",1371628,1364397,35,61
"Antigua and Barbuda, 1983",33259,31432,0,0
"Antigua and Barbuda, 1985",32292,30282,0,0
"Antigua and Barbuda, 1986",31663,29607,0,0
"Antigua and Barbuda, 1987",31185,29076,0,0
"Antigua and Barbuda, 1988",30851,28713,0,0
"Antigua and Barbuda, 1989",30692,28546,0,0
"Antigua and Barbuda, 1990",30729,28605,0,1
"Antigua and Barbuda, 1991",31236,29158,0,0
"Antigua and Barbuda, 1992",31851,29890,0,0
"Antigua and Barbuda, 1993",32590,30725,0,1
"Antigua and Barbuda, 1994",33465,31579,0,0
"Antigua and Barbuda, 1995",34464,32382,0,0
"Antigua and Barbuda, 1998",38056,34169,0,0
"Antigua and Barbuda, 1999",39159,34673,0,0
"Antigua and Barbuda, 2000",40089,35237,0,2
"Antigua and Barbuda, 2001",40681,35816,0,2
"Antigua and Barbuda, 2002",41116,36472,0,0
"Antigua and Barbuda, 2003",41474,37184,0,1
"Antigua and Barbuda, 2004",41837,37885,0,2
"Antigua and Barbuda, 2005",42258,38551,0,0
"Antigua and Barbuda, 2006",42774,39199,0,0
"Antigua and Barbuda, 2007",43358,39773,0,1
"Antigua and Barbuda, 2008",43987,40286,0,0
"Antigua and Barbuda, 2009",44623,40782,0,0
"Antigua and Barbuda, 2012",46381,42322,0,0
"Antigua and Barbuda, 2013",46919,42860,0,0
"Antigua and Barbuda, 2014",47455,43382,0,0
"Antigua and Barbuda, 2015",47990,43899,1,0
"Argentina, 1979",12532000,12454000,508,1294
"Argentina, 1980",12590600,12116000,532,1440
"Argentina, 1981",12596300,12399500,539,1658
"Argentina, 1982",13175000,13058000,489,1476
"Argentina, 1983",13387000,13270000,519,1315
"Argentina, 1984",13480300,13193600,478,1395
"Argentina, 1985",13690900,13399900,538,1450
"Argentina, 1986",13768700,13475700,641,1643
"Argentina, 1987",13947900,13651500,686,1600
"Argentina, 1988",14324000,13984000,665,1689
"Argentina, 1989",14529000,14173000,606,1641
"Argentina, 1990",14732000,14359100,595,1545
"Argentina, 1991",15133000,14490000,499,1452
"Argentina, 1992",15361300,14684100,504,1680
"Argentina, 1993",15584000,14893500,493,1737
"Argentina, 1994",15806800,15104400,510,1731
"Argentina, 1995",16029500,15315900,504,1700
"Argentina, 1996",16252800,15527900,532,1697
"Argentina, 1997",16568735,15765046,539,1645
"Argentina, 1998",16789196,15968063,526,1821
"Argentina, 1999",17006298,16168564,493,1930
"Argentina, 2000",17219345,16366188,550,2224
"Argentina, 2001",17438298,16572648,676,2456
"Argentina, 2002",17642501,16765006,703,2459
"Argentina, 2003",17837389,16948518,684,2605
"Argentina, 2004",18031399,17131546,654,2467
"Argentina, 2005",18230599,17320018,664,2394
"Argentina, 2006",18420650,17498236,612,2496
"Argentina, 2007",18624255,17691237,600,2346
"Argentina, 2008",18838032,17895488,611,2448
"Argentina, 2009",19054705,18103296,584,2300
"Argentina, 2010",19269234,18309220,566,2377
"Argentina, 2011",19491572,18524167,583,2329
"Argentina, 2012",19708068,18733710,628,2620
"Argentina, 2013",19920040,18939085,589,2398
"Argentina, 2014",20131806,19144749,687,2544
"Argentina, 2015",20346129,19353495,604,2469
"Armenia, 1981",1426300,1342400,34,58
"Armenia, 1982",1438400,1355200,17,53
"Armenia, 1985",1473200,1392900,22,52
"Armenia, 1986",1486000,1407400,18,43
"Armenia, 1987",1500300,1422400,26,55
"Armenia, 1988",1504400,1427600,25,36
"Armenia, 1989",1504300,1431300,18,60
"Armenia, 1990",1527100,1456600,29,64
